Date,Time,sensor,status
2023/10/26,15:25:42,42,0.5
2023/10/26,15:25:39,46,0.5
2023/10/26,15:25:39,44,1
2023/10/26,15:25:39,43,1
2023/10/26,15:25:38,31,0.5
2023/10/26,15:25:36,104,1
2023/10/26,15:25:36,46,1
2023/10/26,15:25:36,3,0.5
2023/10/26,15:25:34,3,1
2023/10/26,15:25:34,42,1
2023/10/26,15:25:33,31,1
2023/10/26,15:25:31,22,0.5
2023/10/26,15:25:29,23,0.5
2023/10/26,15:25:24,22,1
2023/10/26,15:25:20,22,0.5
2023/10/26,15:25:17,22,1
2023/10/26,15:25:15,23,1
2023/10/26,15:25:04,22,0.5
2023/10/26,15:25:02,22,1
2023/10/26,15:24:59,101,0.5
2023/10/26,15:24:57,102,0.5
2023/10/26,15:24:55,103,1
2023/10/26,15:24:48,41,0.5
2023/10/26,15:24:46,3,0.5
2023/10/26,15:24:46,2,0.5
2023/10/26,15:24:44,41,1
2023/10/26,15:24:43,11,0.5
2023/10/26,15:24:41,3,1
2023/10/26,15:24:41,2,1
2023/10/26,15:24:38,12,0.5
2023/10/26,15:24:33,12,1
2023/10/26,15:24:29,12,0.5
2023/10/26,15:24:26,12,1
2023/10/26,15:24:24,100,0.5
2023/10/26,15:24:23,12,0.5
2023/10/26,15:24:18,12,1
2023/10/26,15:24:17,101,1
2023/10/26,15:24:16,3,0.5
2023/10/26,15:24:14,102,1
2023/10/26,15:24:13,2,0.5
2023/10/26,15:24:13,11,1
2023/10/26,15:24:12,1,0.5
2023/10/26,15:24:11,3,1
2023/10/26,15:24:10,2,1
2023/10/26,15:24:06,100,1
2023/10/26,15:24:06,1,1
2023/10/26,15:23:19,100,0.5
2023/10/26,15:23:13,1,0.5
2023/10/26,15:23:08,1,1
2023/10/26,15:23:06,1,0.5
2023/10/26,15:23:01,103,0.5
2023/10/26,15:22:56,2,0.5
2023/10/26,15:22:55,3,0.5
2023/10/26,15:22:53,1,1
2023/10/26,15:22:52,100,1
2023/10/26,15:22:52,22,0.5
2023/10/26,15:22:51,27,0.5
2023/10/26,15:22:50,2,1
2023/10/26,15:22:50,21,0.5
2023/10/26,15:22:48,3,1
2023/10/26,15:22:47,23,0.5
2023/10/26,15:22:46,27,1
2023/10/26,15:22:46,24,0.5
2023/10/26,15:22:45,25,0.5
2023/10/26,15:22:45,21,1
2023/10/26,15:22:37,23,1
2023/10/26,15:22:36,24,1
2023/10/26,15:22:34,24,0.5
2023/10/26,15:22:23,104,0.5
2023/10/26,15:22:18,21,0.5
2023/10/26,15:22:17,41,0.5
2023/10/26,15:22:16,25,1
2023/10/26,15:22:16,24,1
2023/10/26,15:22:16,27,0.5
2023/10/26,15:22:14,22,1
2023/10/26,15:22:13,21,1
2023/10/26,15:22:13,103,1
2023/10/26,15:22:12,46,0.5
2023/10/26,15:22:11,42,0.5
2023/10/26,15:22:11,27,1
2023/10/26,15:22:08,46,1
2023/10/26,15:22:07,43,0.5
2023/10/26,15:22:06,42,1
2023/10/26,15:22:06,44,0.5
2023/10/26,15:22:06,41,1
2023/10/26,15:22:03,41,0.5
2023/10/26,15:22:02,43,1
2023/10/26,15:22:02,46,0.5
2023/10/26,15:22:01,44,1
2023/10/26,15:21:58,46,1
2023/10/26,15:21:58,44,0.5
2023/10/26,15:21:58,41,1
2023/10/26,15:21:54,43,0.5
2023/10/26,15:21:51,106,0.5
2023/10/26,15:21:51,43,1
2023/10/26,15:21:50,44,1
2023/10/26,15:21:48,43,0.5
2023/10/26,15:21:47,44,0.5
2023/10/26,15:21:46,46,0.5
2023/10/26,15:21:41,46,1
2023/10/26,15:21:37,104,1
2023/10/26,15:21:36,44,1
2023/10/26,15:21:11,104,0.5
2023/10/26,15:21:00,44,0.5
2023/10/26,15:20:59,106,1
2023/10/26,15:20:49,46,0.5
2023/10/26,15:20:46,43,1
2023/10/26,15:20:45,46,1
2023/10/26,15:20:43,43,0.5
2023/10/26,15:20:43,46,0.5
2023/10/26,15:20:43,51,0.5
2023/10/26,15:20:42,105,0.5
2023/10/26,15:20:35,46,1
2023/10/26,15:20:32,104,1
2023/10/26,15:20:29,43,1
2023/10/26,15:20:25,43,0.5
2023/10/26,15:20:22,43,1
2023/10/26,15:20:19,43,0.5
2023/10/26,15:20:14,104,0.5
2023/10/26,15:20:04,105,1
2023/10/26,15:20:04,51,1
2023/10/26,15:20:04,42,0.5
2023/10/26,15:20:04,44,1
2023/10/26,15:20:04,44,0.5
2023/10/26,15:20:04,43,1
2023/10/26,15:20:03,46,0.5
2023/10/26,15:20:00,44,1
2023/10/26,15:19:59,46,1
2023/10/26,15:19:58,41,0.5
2023/10/26,15:19:58,43,0.5
2023/10/26,15:19:58,44,0.5
2023/10/26,15:19:56,41,1
2023/10/26,15:19:55,42,1
2023/10/26,15:19:54,46,0.5
2023/10/26,15:19:51,46,1
2023/10/26,15:19:49,46,0.5
2023/10/26,15:19:45,103,0.5
2023/10/26,15:19:45,46,1
2023/10/26,15:19:42,44,1
2023/10/26,15:19:42,42,0.5
2023/10/26,15:19:42,46,0.5
2023/10/26,15:19:40,41,0.5
2023/10/26,15:19:40,43,1
2023/10/26,15:19:39,3,0.5
2023/10/26,15:19:39,31,0.5
2023/10/26,15:19:37,46,1
2023/10/26,15:19:37,104,1
2023/10/26,15:19:36,42,1
2023/10/26,15:19:34,31,1
2023/10/26,15:19:33,3,1
2023/10/26,15:19:31,41,1
2023/10/26,15:19:30,23,0.5
2023/10/26,15:19:29,24,0.5
2023/10/26,15:19:26,23,1
2023/10/26,15:19:14,101,0.5
2023/10/26,15:19:13,102,0.5
2023/10/26,15:19:10,24,1
2023/10/26,15:19:07,24,0.5
2023/10/26,15:19:03,24,1
2023/10/26,15:19:02,103,1
2023/10/26,15:18:56,11,0.5
2023/10/26,15:18:39,11,1
2023/10/26,15:18:38,12,0.5
2023/10/26,15:18:34,12,1
2023/10/26,15:18:26,100,0.5
2023/10/26,15:18:20,101,1
2023/10/26,15:18:14,102,1
2023/10/26,15:18:12,1,0.5
2023/10/26,15:18:05,100,1
